field_1, field_2,W01000558,W01000559,W01000560,W01000561,W01000613,W01000562,W01000565,W01000566,W01000567,W01000597,W01000617,W01000579,W01000581,W01000612,W01000618,W01000582,W01000583,W01000611,W01000623,W01000568,W01000569,W01000570,W01000572,W01000571,W01000573,W01000586,W01000577,W01000585,W01000595,W01000596,W01000555,W01000556,W01000575,W01000614,W01000622,W01000554,W01000580,W01000598,W01000599,W01000587,W01000588,W01000593,W01000553,W01000563,W01000564,W01000576,W01000615,W01000616,W01000589,W01000590,W01000591,W01000592,W01000594,W01000600,W01000601,W01000602,W01000603,W01000604,W01000605,W01000557,W01000578,W01000584,W01000609,W01000574,W01000606,W01000607,W01000608,W01000610,W01000619,W01000620,W01000621
Pembrokeshire 013B,W01000601,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,6,2,18,0,0,15,1,5,0,1,15,2,4,1,0,1,4,1,1,0,5,8,5,0,6,0,3,1,3,1,1,1,1,1,0,3,49,69,44,28,1,4,2,3,5,5,22,2,21,20,3,3,5,4
Pembrokeshire 013C,W01000602,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,19,0,0,22,4,2,0,0,11,2,0,0,0,3,1,1,0,0,2,5,7,0,6,1,1,2,2,1,4,3,2,1,0,5,52,37,60,28,0,4,4,5,1,4,34,1,28,16,7,1,6,7
Pembrokeshire 013D,W01000603,0,0,0,1,1,0,0,0,0,1,0,0,0,2,1,0,0,3,0,41,0,0,23,3,11,2,2,5,3,2,0,1,4,2,2,2,0,10,12,8,1,10,1,1,0,1,1,1,0,1,1,1,4,81,85,67,58,7,8,4,11,4,8,54,4,51,30,8,2,5,9
Pembrokeshire 013E,W01000604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,13,0,0,14,4,8,1,1,9,4,2,1,0,1,1,0,2,1,11,21,1,0,7,0,0,0,1,0,5,2,2,1,0,0,58,71,53,35,10,13,2,10,1,14,58,6,32,13,8,0,6,5
Pembrokeshire 013F,W01000605,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,4,3,30,0,0,20,9,9,2,0,9,8,6,1,0,1,5,3,0,0,9,17,9,0,10,0,0,2,1,1,5,1,1,1,0,5,54,78,56,59,5,38,5,6,8,13,59,5,50,26,8,3,12,4
Pembrokeshire 014A,W01000557,0,1,1,2,0,0,0,4,1,0,0,1,0,2,1,0,1,7,0,26,0,0,29,4,8,2,2,12,9,14,0,1,1,0,0,2,0,5,2,6,0,2,4,11,6,13,1,5,0,1,1,0,0,21,27,24,9,0,2,68,11,9,4,20,3,30,18,14,5,18,27
Pembrokeshire 014B,W01000578,0,0,0,0,0,1,0,1,0,1,0,0,2,0,2,1,0,6,2,39,0,0,21,15,8,7,0,2,4,2,0,0,1,1,1,2,1,9,9,8,1,3,0,3,1,4,3,4,1,3,2,0,6,24,26,24,15,0,1,4,37,8,11,40,4,39,22,8,4,17,10
Pembrokeshire 014C,W01000584,1,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,2,4,3,27,0,0,21,5,6,2,2,8,9,1,0,1,0,2,0,2,0,7,2,9,0,9,2,3,4,10,2,9,4,1,0,1,3,11,21,29,11,0,2,3,8,67,10,26,1,10,14,21,7,42,35
Pembrokeshire 014D,W01000609,0,0,0,0,2,0,1,1,1,0,1,0,0,6,2,0,1,3,0,46,0,2,21,12,11,5,0,11,4,4,2,0,1,4,0,1,0,10,11,9,0,8,2,4,2,5,0,3,2,2,3,0,2,54,42,43,29,1,5,7,19,9,38,85,11,63,67,4,3,17,9
Pembrokeshire 015A,W01000574,0,0,0,0,0,1,1,3,0,1,0,0,0,1,0,0,1,15,0,43,0,0,18,8,5,4,0,5,4,6,0,0,4,2,4,1,1,6,4,1,0,12,0,1,0,12,0,5,1,3,2,0,0,31,32,34,24,1,1,2,8,6,9,116,7,44,24,4,2,8,5
Pembrokeshire 015B,W01000606,0,0,0,0,2,1,0,1,1,1,0,1,1,1,0,0,0,4,0,10,0,0,8,0,4,1,2,4,2,2,0,0,1,1,0,0,1,8,5,5,0,5,0,2,1,1,1,1,0,0,0,0,2,33,54,24,20,0,1,2,5,1,8,52,31,27,42,2,2,6,6
Pembrokeshire 015C,W01000607,0,0,0,0,0,0,0,1,2,0,1,0,0,3,0,0,0,2,1,28,0,0,12,6,4,0,0,5,1,4,4,0,1,2,1,3,3,5,9,6,0,5,0,0,1,2,1,4,1,0,0,0,3,44,69,48,33,1,4,6,7,4,17,82,7,61,51,10,2,6,6
Pembrokeshire 015D,W01000608,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,4,0,24,0,0,8,7,5,1,1,3,2,10,1,1,0,6,0,0,0,3,4,10,0,2,1,1,1,0,1,0,1,1,1,0,3,26,52,28,17,2,0,4,9,5,15,57,9,36,47,6,2,6,5
Pembrokeshire 016A,W01000610,0,0,0,0,0,1,0,3,3,0,1,1,1,1,4,1,0,3,2,20,0,0,19,0,5,0,1,10,7,5,1,0,1,2,1,0,0,0,6,5,0,6,2,6,2,2,1,21,0,0,0,0,2,5,11,11,5,1,1,3,1,20,6,19,2,11,6,39,23,70,65
Pembrokeshire 016B,W01000619,1,0,0,0,0,0,1,1,1,0,0,0,0,2,3,0,0,4,1,29,0,0,8,7,10,2,2,8,9,4,0,0,0,1,2,1,1,7,2,5,0,2,1,8,3,5,4,20,1,3,2,1,1,8,11,13,3,0,1,9,6,8,2,22,2,21,7,64,58,157,112
Pembrokeshire 016C,W01000620,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,0,0,3,1,14,0,0,7,6,1,0,0,3,2,3,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,3,8,0,0,0,0,0,5,5,3,5,0,0,1,2,1,0,13,0,2,4,17,17,84,67
Pembrokeshire 016D,W01000621,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,13,0,0,9,2,3,0,1,2,10,5,0,0,0,1,2,1,0,0,1,2,0,2,0,1,7,2,9,7,0,0,2,3,2,5,11,8,8,1,0,6,1,16,3,17,2,10,5,36,35,114,87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"In order to protect against disclosure of personal information, records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,have been swapped between different geographic areas. Some counts will,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"be affected, particularly small counts at the lowest geographies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
